WORDS,TAGS
gold,Color
inch,others
mediatek helio a22,Processor Type
quad core,Processor Core
16 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
3260 mah,Battery Capacity
gold,Color
inch,others
mediatek helio a22,Processor Type
quad core,Processor Core
16 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
3260 mah,Battery Capacity
gold,Color
inch,others
mediatek helio a22,Processor Type
quad core,Processor Core
16 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
3260 mah,Battery Capacity
redmi 9,Model Name
carbon black,Color
inch,others
mediatek helio g35,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp + 2mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
nature green,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
seablue,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
nature green,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
midnight black,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
midnight black,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8,Model Name
emerald green,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
12mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
9i,Model Name
midnight black,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
9i,Model Name
nature green,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
9i,Model Name
sea blue,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
note 9,Model Name
pebble grey,Color
inch,others
mediatek helio g85,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp + 8mp + 2mp + 2mp,Primary Camera
13mp front camera,Secondary Camera
5020 mah,Battery Capacity
9 power,Model Name
electric green,Color
inch,others
qualcomm snapdragon 662,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp rear camera,Primary Camera
8mp front camera,Secondary Camera
6000 mah,Battery Capacity
9 prime,Model Name
sunrise flare,Color
inch,others
mediatek helio g80,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
8mp front camera,Secondary Camera
5020 mah,Battery Capacity
redmi 9,Model Name
sky blue,Color
inch,others
mediatek helio g35,Processor Type
64 gb,Internal Storage
4 gb,RAM
13mp + 2mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8a dual,Model Name
midnight grey,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9,Model Name
sporty orange,Color
inch,others
mediatek helio g35,Processor Type
64 gb,Internal Storage
4 gb,RAM
13mp + 8mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8a dual,Model Name
sky white,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi note 9 pro,Model Name
glacier white,Color
inch,others
qualcomm® snapdragon™ 720g,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp + 8mp + 5mp + 2mp,Primary Camera
16mp front camera,Secondary Camera
5020 mah,Battery Capacity
redmi 9a,Model Name
sea blue,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8,Model Name
onyx black,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
12mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
9 power,Model Name
mighty black,Color
inch,others
qualcomm snapdragon 662,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp rear camera,Primary Camera
8mp front camera,Secondary Camera
6000 mah,Battery Capacity
9 power,Model Name
mighty black,Color
inch,others
qualcomm® snapdragon™ 662,Processor Type
octa core,Processor Core
128 gb,Internal Storage
6 gb,RAM
48mp rear camera,Primary Camera
8mp front camera,Secondary Camera
6000 mah,Battery Capacity
9 prime,Model Name
mint green,Color
inch,others
mediatek helio g80,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
8mp front camera,Secondary Camera
5020 mah,Battery Capacity
9 prime,Model Name
matte black,Color
inch,others
mediatek helio g80,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
8mp front camera,Secondary Camera
5020 mah,Battery Capacity
redmi 9,Model Name
carbon black,Color
inch,others
mediatek helio g35,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp + 2mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
seablue,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
midnight black,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
nature green,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
nature green,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
midnight black,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8,Model Name
emerald green,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
12mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
9i,Model Name
midnight black,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
9i,Model Name
nature green,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
9i,Model Name
sea blue,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
note 9,Model Name
pebble grey,Color
inch,others
mediatek helio g85,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp + 8mp + 2mp + 2mp,Primary Camera
13mp front camera,Secondary Camera
5020 mah,Battery Capacity
9 power,Model Name
electric green,Color
inch,others
qualcomm snapdragon 662,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp rear camera,Primary Camera
8mp front camera,Secondary Camera
6000 mah,Battery Capacity
9 prime,Model Name
sunrise flare,Color
inch,others
mediatek helio g80,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
8mp front camera,Secondary Camera
5020 mah,Battery Capacity
redmi 9,Model Name
sky blue,Color
inch,others
mediatek helio g35,Processor Type
64 gb,Internal Storage
4 gb,RAM
13mp + 2mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9,Model Name
sporty orange,Color
inch,others
mediatek helio g35,Processor Type
64 gb,Internal Storage
4 gb,RAM
13mp + 8mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8a dual,Model Name
midnight grey,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8a dual,Model Name
sky white,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi note 9 pro,Model Name
glacier white,Color
inch,others
qualcomm® snapdragon™ 720g,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp + 8mp + 5mp + 2mp,Primary Camera
16mp front camera,Secondary Camera
5020 mah,Battery Capacity
redmi 9a,Model Name
sea blue,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
13mp rear camera,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 8,Model Name
onyx black,Color
inch,others
qualcomm snapdragon 439,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
12mp + 2mp,Primary Camera
8mp front camera,Secondary Camera
5000 mah,Battery Capacity
9 power,Model Name
mighty black,Color
inch,others
qualcomm snapdragon 662,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
48mp rear camera,Primary Camera
8mp front camera,Secondary Camera
6000 mah,Battery Capacity
9 power,Model Name
mighty black,Color
inch,others
qualcomm® snapdragon™ 662,Processor Type
octa core,Processor Core
128 gb,Internal Storage
6 gb,RAM
48mp rear camera,Primary Camera
8mp front camera,Secondary Camera
6000 mah,Battery Capacity
9 prime,Model Name
mint green,Color
inch,others
mediatek helio g80,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
8mp front camera,Secondary Camera
5020 mah,Battery Capacity
9 prime,Model Name
matte black,Color
inch,others
mediatek helio g80,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp rear camera,Primary Camera
8mp front camera,Secondary Camera
5020 mah,Battery Capacity
redmi 9,Model Name
carbon black,Color
inch,others
mediatek helio g35,Processor Type
octa core,Processor Core
64 gb,Internal Storage
4 gb,RAM
13mp + 2mp,Primary Camera
5mp front camera,Secondary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
nature green,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
seablue,Color
inch,others
octa core,Processor Core
32 gb,Internal Storage
2 gb,RAM
13mp rear camera,Primary Camera
5000 mah,Battery Capacity
redmi 9a,Model Name
nature green,Color
inch,others
mediatek helio g25,Processor Type
octa core,Processor Core
32 gb,Internal Storage
3 gb,RAM
